text,rating,job_title,platform,source
Amazon is a great company to work for.,4.1,Stower,careerbliss,amazon
The amount of experience gained while working at Amazon sets you apart due to the volume of work and interactions.,4.9,Anonymous Employee,careerbliss,amazon
I worked for Amazon as an Operations Manager and it gave me the ability to prove my skills and learn the dynamics of being peculiar at Amazon which is an inner talent of the company. If you are seeking a career with Amazon do your research as there are endless opportunities in many different areas of their operations.,3.9,Anonymous Employee,careerbliss,amazon
Easy work with a good company but needs lots of improvement in training the supervisors/management team. The vehicles and equipment are falling apart all around the workplace. The amount of work being asked of the employees far exceeds the compensation received. Would be a great place to work if they just listened and took advice from their current employees.,3.4,Delivery Specialist,careerbliss,amazon
"I've worked in the Amazon-Whole Food Team for 3 years. It is a wonderful company where I have learned to work as a team to achieve high-level goals, with an excellent staff.",5,Associate,careerbliss,amazon
"The company is amazing and has a good exposure to the vast culture and different aspects or fields to explore. I like how the company is fast growing and is in almost all the fields of business. Amazon Business is a marketplace for businesses of all sizes. It looks and works very much like regular Amazon -- only it offers access to ""hundreds of millions"" of business products from ""hundreds of thousands"" of business sellers, according to Amazon.",5,Anonymous Employee,careerbliss,amazon
"I've worked there since 2019. Coworkers are great, management is poor. salary is less than desirable, work conditions are less than stellar, some supervisors are great and some sit around and play on their phones. Overall it's a job, not a career.",2.1,Anonymous Employee,careerbliss,amazon
They don't let you choose the schedule for your work,3.6,Anonymous Employee,careerbliss,amazon
Great team to work for very energetic focusing on people first operation second,4.1,Ambassador,careerbliss,amazon
"Amazon has given me the scope and scale I have been looking for after transition from the military. I had the opportunity to build new things, fail fast, and learn from amazing leaders. I want to continue to grow my career and have loved my time with Amazon. I’d recommend anyone to work there!",4,Anonymous Employee,careerbliss,amazon
"amazon, is a good company but it's biggest opportunity would be working on giving its employees a better work life balance",3.4,Anonymous Employee,careerbliss,amazon
"Working as a product photographer at Amazon Canada was a great opportunity for me. It is probably the least relevant of my work experiences when it comes to Data Analyst and other roles, however it was a position that was offered to me via a recruiter who reached out. I was keen to work for a company like Amazon and was curious to how their organization is structured, so I took the opportunity. My coworkers were very friendly and everyone got along well, my manager was also very good at his job and easy to get along with as well. I learned quite a bit about the organization and was happy to contribute to the company.",4.1,Photographer,careerbliss,amazon
"Amazon is an extremely tough place to work. Their corporate staff seldom get raises over and above their predetermined bump up for their first four years, even if they are a star performer. Be prepared to work very long hours. The environment is extremely competitive and cut throat! The promotions are few and far between and they prefer to hire from outside the company. This makes for a very difficult environment. They believe in sink or swim mentality. Be prepared for 65-90 hour work weeks every week!",2.8,Anonymous Employee,careerbliss,amazon
"Due this pandemic situation I was laid off from my previous job on April 2019, thus I have started to work for Amazon Colombia as a Virtual Customer Service Representative since September 2019. Even if this work is not on my field (Civil Engineering) I have learned a lot of leadership skills and how to manage people. It has been a good time working on it, however I would like to keep growing in terms of my profession as an Engineer and looking for new experiences.",3.8,Anonymous Employee,careerbliss,amazon
"Worked there for several years. Was excited to start at Amazon. Once I got in I started to see things that were concerning. First thing I noticed is every Friday I would get several emails from people saying it was there last day and leaving Amazon. I was told the attrition rate was normal. I said NO not this rate is not normal. Then you start to see how most people are given more and more tasks and no raises. 
Then if you don't fit in or someone does not like you, you get a big target on you. Maybe even get put on Amazons famous ""Pivot Plan""
That is so awesome. This is a plan that usually has made up lies. 
Amazon rotates through employees at a crazy rate. Don't go to Amazon thinking of a career. 
If you are smart you will go to a company that cares and wants to retain good employees.",2,Anonymous Employee,careerbliss,amazon
"I worked for Amazon for a little over a year and in that time, I went from being a Tier 1 to getting 2 promotions and becoming an Assistant Manager, I believe there is a lot of room for growth but same as everywhere, you need to want to grow and you need to work for it. It can be pretty physically demanding so please keep that in mind when applying.",4.1,Assistant Manager,careerbliss,amazon
A great place to work and grow,5,QA Analyst,careerbliss,amazon
"Amazon employs a lot of people, their retention rate is very low.  The work is very hard and they have a 50% injury rate.",1.4,Anonymous Employee,careerbliss,amazon
I did enjoy working for the company however I am looking for growth opportunities,3.9,Anonymous Employee,careerbliss,amazon
Good company to work for and good pay.,4,Associate,careerbliss,amazon
Its great to work there but it depends on the person because it involves night shift,3,Anonymous Employee,careerbliss,amazon
Excellent customer  well employee focused organization.,3.3,Anonymous Employee,careerbliss,amazon
You need to work here at least once!,4.1,SDE,careerbliss,amazon
Amazon Pay is an incredible organization with a great team that is equipped to help anyone who comes aboard succeed!,5,Anonymous Employee,careerbliss,amazon
"The globally known e-commerce company is an excellent, well organized, rewarding employer.",4.9,Account Advocate,careerbliss,amazon
I have worked for Amazon for 4 years and I enjoy the company. It has a lot of room for growth and development and I love the pay. I believe there is a great opportunity to develop your skills as they provide a great deal of service to make their employees better professionals.,4,Problem Management Specialist,careerbliss,amazon
I worked at Amazon for a month and the pay was good it just was very antisocial,2.5,Packer,careerbliss,amazon
More room for improvement. Hires the best and when hired you need to work very hard to raise the bar. No clear path laid out for promotion and how to develop. Employees are sometimes over worked.,3.3,Anonymous Employee,careerbliss,amazon
A Very Good place to work it is more fun inside in the environment. Lots of stuff and prices they will give you during peak season. Also lots of sign up schedule to work if you want to earn more extra income. It is also a fast paced and comfortable place to work. It's a pretty easy working process while working with great associates. Amazon also cares more about our safety then anything.,5,Anonymous Employee,careerbliss,amazon
Friendly environment with a lot of flexibility on the task you had to do and they also provided good benefits,4.5,Anonymous Employee,careerbliss,amazon
"I have worked at Amazon since 2017. I started from the bottom packing boxes and worked my way up in the world of finance. I believe if you are determined you can go anywhere in this company, but the ask of you will be enormous.",4,Anonymous Employee,careerbliss,amazon
I have worked for Amazon Fulfillment and AMZL for 5 years starting in 2016. The work environment is very fast-paced and provides plenty of opportunity for advancement for those leaders that are up for the challenge. Overall a very positive work experience that provided great opportunities for leadership development and growth.,3.9,Operations Manager,careerbliss,amazon
Expectations are high so expect to work every minute. Breaks and lunches are good if you can find a table to eat at in the break room. Extremely physical and nonstop work. I was always dehydrated.  Managers want numbers and are not interested in safety.,2.4,Anonymous Employee,careerbliss,amazon
"Working at Amazon was a great experience for me. I'm grateful for the opportunity they've given me for all the years I've been there. I've learned and grown a lot there, the environment was also great. Good people with highly goal driven mentality. It was awesome being employed by such a great company but I chose to leave amazon to go back to school and become a Network Engineer",5,Software Technician,careerbliss,amazon
"I've worked at the Amazon headquarters in Seattle, WA for 5 years. I've had the opportunity to work for really smart people, a lot of opportunity for career growth, and I'm always encouraged to be innovative, think big, and create something new. The culture is quick and hard charging. You are always working in relevant and meaningful projects. There are really well run teams and very badly run teams. The experience for most employees is all over the board, from really run low operational load teams to teams where people burn out after a year. Amazon is built, quite deliberately, to be Darwinian. The strong survive and the weak perish (metaphorically speaking) and the 'bar' is constantly increasing. The level of performance that would have been acceptable five years ago will get you canned today. It's a kind of crucible that'll help you develop a harder edge, if you can survive, that can serve you well in your career and in life, but it's often not a pleasant experience. Work/life balance is extremely difficult to find. I wouldn't recommend it as a place to work for just anyone. Competitive salary and benefits with other major tech companies.",4.1,Anonymous Employee,careerbliss,amazon
Great customer-centric company,4.6,Cognizant Engineer,careerbliss,amazon
"I've worked in the Amazon fulfillment center since 2017. The better you perform, the more chances you have in growing as an associate. The limitation on restroom usage is a bit of an issue, but other than that it is a good experience. You are able to apply as a manager even without a degree after working for over 2 years (which they count as equivalent to an undergrad degree) and apply internally.",4.5,Anonymous Employee,careerbliss,amazon
"I've worked for Amazon Digital Goods. The team is innovative and engaging. There were a lot of transitions going on and I decided I would like to develop my programming skills in a different direction. I respect this company and the work I have done, I just needed to take a different path.",4.4,Anonymous Employee,careerbliss,amazon
I’ve worked as a delivery partner for the past 3 years.  Being able to serve customers and put a smile on someone’s face is very rewarding.  The ability to make my own schedule is a plus as well.  I enjoy the job because you earn tips for hard work.,4.8,Delivery Partner,careerbliss,amazon
"Pros: Fun, challenging work environment with a large variety of equipment.

Cons: Way too much bloat in management. Managers, for the most part, do not understand their roles and do not possess the skills to help employees succeed.",3.8,Anonymous Employee,careerbliss,amazon
"They will challenge you, but not push you too hard to meet deadlines.  Some overtime may be needed to meet deadlines at times.  Agile work environment, and good people.",4.5,Anonymous Employee,careerbliss,amazon
"Amazon has been a great company to work for! They've taught me even more about time management, predictions, labor management, and preparing for the unknown. It is a very demanding job, but the satisfaction of knowing that every day will not be the same has been rewarding. I'm always in for a challenge.",4.6,Process Assistant,careerbliss,amazon
"I worked in prime video team at Amazon. My manager was great and supportive along with my mentor. Also, I got help from my very talented teammates.",4.6,Software Development Engineer in Test Intern,careerbliss,amazon
Its a very large company!,3.4,Anonymous Employee,careerbliss,amazon
"Amazon will hire and train employees to work in their warehouse with great health benefits on your initial start date.  If you work hard and search for additional training opportunities, you can submit for higher-level roles at various locations nationally.  Transferring to other locations can be accomplished by using their internal online system to help with relocation or just job advancement.  Amazon will also help pay tuition for people interested in obtaining careers outside of the company.",4.8,Warehouse Worker,careerbliss,amazon
"My experience with retail management for over 30 years can work in the relation of all experiences, customer satisfaction, inventory control, payroll, recruiting, hiring, deposits in cash handling, merchandising according to the year, season, and holiday.",4.5,Stower,careerbliss,amazon
"I have only been at Amazon for a few months but, I find it to be a pretty smooth running company that is growing very fast. They offer benefits as soon you are deemed to be a full-time employee.",4.5,Fulfillment Center Associate,careerbliss,amazon
"Since 2020 I am an Amazonian Area Operations Manager. My current employer provides all the necessary tools to help the teams suceed. In addition, the culture and compensation are great.",5,Area Operations Manager,careerbliss,amazon
"I’ve worked for Amazon for 3 years and 4 months.
The work environment here is fast paced and hardworking getting the job done on time.
The managers here are good having communication skills that are clear and consistent.
The benefits are great for part-time and full-time employees. 
It’s also a good job for people who are also in school along with the programs they can sign up for according to their school/career of choice.",4.1,Anonymous Employee,careerbliss,amazon
N/A nothing to add to a review,4.8,Technician,careerbliss,amazon
I worked for Amazon and really enjoyed the opportunity to work with people.  The main issue I had with Amazon was the lack of communication between management.,4.4,Driver,careerbliss,amazon
"The work environment was friendly, safely, well equipped and motivational",4.8,Anonymous Employee,careerbliss,amazon
"I've worked for Amazon since 2019.  If you are willing to work and put in effort they will put you in the path to succeed.  Benefits excellent, management on par with industry standards.",5,Gatekeeper,careerbliss,amazon
Its a nice company to work with.,4.5,Anonymous Employee,careerbliss,amazon
"I’ve worked for Amazon since March of 2020 and have enjoyed my time. I work on the Prime Air side and it is a lot of fun working with planes and knowing I make a difference every day. It is a great company to work for in terms of guaranteed hours and pay. The benefits are good and start on day one which is a huge plus. There is growth potential, but don’t expect to move up quickly. Very results driven environment.",3.5,Process Assistant,careerbliss,amazon
"I worked at Excellence Mortgage as a Mortgage Loan Office for 7 years. It was a company with about  60 loan officers. I learned to originate, process my loans and repair credit to get loan approval.",4.8,Researcher,careerbliss,amazon
Amazon was a great company with lots of opportunities to grow and move up but it wasn’t for me because I need customer service experience.,4.4,Associate,careerbliss,amazon
I've worked for Amazon for six months and enjoy doing my job well and efficiently. I have developed long-lasting relationships with co-workers and supervisors. I was recently promoted to Assistant Manager and I will continue to strive to reach the highest position available. Amazon hires over 200+ in the span of every two months.,4.8,Fulfillment Specialist,careerbliss,amazon
I worked for Amazon for six years and enjoyed learning key strategies that enabled me to be successful in learning and growing a business oriented frame of mind that helped me to excel at my position within the company.,5,Operations Manager,careerbliss,amazon
"I have been employed by Amazon since July of 2019. In this time I was promoted to Lead Driver, which gave me new responsibilities such as assignment of routes, audit damages, issuance of disciplinary procedures, and documentation of the van each employee drives each shift. In all, I have not quite been satisfied here at Amazon due a lack of fulfillment with the job and periodic lack of organization by management, with addition of the recent abolition of the “Lead Driver” position",2.6,Anonymous Employee,careerbliss,amazon
I’ve worked for Amazon since 2017. I developed many skills and was able to meet great people.,3.5,Anonymous Employee,careerbliss,amazon
I’ve worked for Amazon as a delivery driver for 2 years now. The smiles on the customers face when they receive their package numbs the working conditions.,4.3,Anonymous Employee,careerbliss,amazon
A good company to work for,3.3,Warehouse Associate,careerbliss,amazon
My current employer is awesome,5,Logistics Manager,careerbliss,amazon
"Currently, I work as a bioinformatics research associate where I analyse spatial interaction between tumor and immune cells. My research goal is to find predictive markers to better existing immunotherapy treatments.

Last semester I made a project that enabled ordinary people understand clinical notes. I identified hard to understand text using reading reading scores, expanded them using wikipedia definition and then finally condensed text using SOTA summarizer. Such a tool would be extremely helpful in developing world where doctors do not have enough time to explain every detail to patients.

Last semester I made a project on drug discovery and detecting sequential patterns across dosage levels & control time using convolution network. Please find more information here.

Previouly, I worked as a Data Science Intern at Amazon where I evaluated their customer service chatbot, MessageUs. My work uncovered faults in the architecture that prevented customer from reaching desired help page.",5,Summer Intern,careerbliss,amazon
It is a great place to work at . I have acquired many skills working with them . They have a good career choice program and great benefits.,4,Anonymous Employee,careerbliss,amazon
"In Amazon, you have to be a very proactive and driven individual to be successful. You need to ensure you are at the top of the game, fulfilling your expectation daily, and keep asking for feedbacks to be improved. Don't expect that the manager will do this for you.",3.3,Software Engineer,careerbliss,amazon
"I loved where I worked except sometimes my sleep cycle would get messed up, work-life harmony, and no work-life balance. Besides that, I got better at what I do I became more of a team player and receptive to helping others to get things done.",3.1,Intern,careerbliss,amazon
I have work for Amazon for almost two years. The workload becomes more difficult day by day. I do my best but it is very physically demanding.,3.5,Anonymous Employee,careerbliss,amazon
"I've worked at Amazon for almost a year and was transferred over to multiple warehouses. Over the year all I have experienced was bad and dishonest management and along with people playing the blame game. I would not go back here, I would not recommend this to anyone.",2.4,Anonymous Employee,careerbliss,amazon
"I have worked at Amazon since 12, 2020. It's a famous e-business company with more than 1000 employees.",5,Warehouse Associate,careerbliss,amazon
I started working for amazon when Covid-19 hit. It’s a great company to work for but I am looking for a job with more opportunities. Amazon has great shifts and pays out well but I don’t have enough time to spend with my family. I am willing to find something new that works with my time schedule.,5,Warehouse Associate,careerbliss,amazon
