text,satisfaction,job_level,date,platform,source
Amazon definitely had its pros but unfortunately the cons in my experience have out weighted those pros many times. They don’t have a good system to really support their employees all they truly care about is money and their product rates. Regardless of what employees are going through they have the tendency to be very selfish.,Neither satisfied nor unsatisfied,Mid-Level,2025-04-18T17:00:35.857677-04:00,inhersight,amazon
"The company uses contractors to run the facility and of course the company uses third party companies that don’t pay , skim, pay, and hire people to run them in circles for entertainment.",Unsatisfied,Early Career,2025-04-06T16:05:18.946891-04:00,inhersight,amazon
Working half the week is fabulous.  You have a so many points and hours before you can hang yourselves.  The insurance is reasonable and other perks to work with.,Anonymous,Mid-Level,2025-03-15T18:28:48.256960-04:00,inhersight,amazon
"Management is absolutely horrible, mainly because they never have compassion for the associates who work very hard every day, and offer no remorse or understanding for our positions. Managers don’t care enough to make any changes for anything that actually matters, and solely base their problem solving skills on the fit of their budgeting. In my 4 years of working at this facility, the only reason I stay is for the pay.",Very unsatisfied,Mid-Level,2025-02-12T21:57:16.631178-05:00,inhersight,amazon
Amazon was a great company to work for!,Very satisfied,Early Career,2025-02-12T02:27:47.679430-05:00,inhersight,amazon
I feel like I should have atleast had the chance to grow with the company. I feel like if your a white badge you get treated differently,Unsatisfied,Early Career,2025-01-11T06:42:39.090101-05:00,inhersight,amazon
You are just a number.  It's horrible.,Very unsatisfied,Early Career,2024-11-19T12:16:28.738620-05:00,inhersight,amazon
"Low pay for taking abusive calls all day long, back to back, while expected to have after call time below a minute.",Very unsatisfied,Early Career,2024-09-30T22:28:41.169450-04:00,inhersight,amazon
I feel that have been treating me differently once I returned from maternity leave.,Very unsatisfied,Early Career,2024-09-24T18:36:23.446864-04:00,inhersight,amazon
Worst job ever,Very satisfied,Early Career,2024-08-26T12:26:28.940688-04:00,inhersight,amazon
"Liars is what I think of when I think of Amazon working as a shopper was not as they advertised. we were treated like a number constantly being used against each other offering incentives if we went faster, but at the same time telling us to be safe because it was during Covid. 

After they told us that they would bring us over to the Whole Foods side. Our first day we were let go, by cutting access through our badges.",Unsatisfied,Mid-Level,2024-07-15T18:59:06.607269-04:00,inhersight,amazon
"The process of employee clock in and out and/or time off request was terrible. There were many errors and no actual human to correct. As trivial as that might sound, it was frustrating how they worked the point system and getting hours correctly was another issue you always had to be on top of. Parking was a Nightmare though other than those complaints, I loved it. My coworkers were great, helpful and for the most part everyone gave 100%, which allowed for a smoother overall process.",Unsatisfied,Mid-Level,2024-06-25T22:11:51.743915-04:00,inhersight,amazon
"There is way to much favoritism, they only promote if your in a click or popular group of people, the pay is not worth the hell you have to put up with",Very unsatisfied,Mid-Level,2024-04-10T09:24:44.278726-04:00,inhersight,amazon
"Training, Mentorship lacking",Unsatisfied,Mid-Level,2024-04-01T11:43:11.593892-04:00,inhersight,amazon
"As a late career switcher to tech, I had an amazing experience as a remote SDE I with a very supportive manager and team who were invested in my career development.",Satisfied,Early Career,2024-03-18T14:57:09.966887-04:00,inhersight,amazon
I would never consider working there again.,Very unsatisfied,Early Career,2024-03-14T12:13:01.840361-04:00,inhersight,amazon
I really liked working there.,Very satisfied,Senior-Level,2024-02-29T16:46:38.886420-05:00,inhersight,amazon
"This job is highly dependent on your individual leadership and not a one size fits all. Some leaders prioritize family, health, time off. Others will call you on vacations, and not understand why you're logging off to have family dinner. My personal boundaries were not respected often, however I have heard others who have had good experiences.",Unsatisfied,Mid-Level,2024-02-08T13:25:46.796268-05:00,inhersight,amazon
They get so wrapped up in saying read the SOP that they forget people learn different and sometimes need a human touch.,Neither satisfied nor unsatisfied,Mid-Level,2024-02-06T19:06:05.824877-05:00,inhersight,amazon
It was a very unfulling experience,Unsatisfied,Mid-Level,2024-01-19T04:42:32.192787-05:00,inhersight,amazon
Quick and reasonable,Satisfied,Early Career,2023-11-07T21:12:45.339107-05:00,inhersight,amazon
"If you find a team that's a good fit for you, Amazon is a great place.",Satisfied,Senior-Level,2023-11-06T00:55:00.946902-05:00,inhersight,amazon
"I really enjoyed my first internship with Amazon as an SDE intern. I grew, learned and accomplished goals that I never knew I was going to achieve after my freshman year in college. Being able to work in the corporate world is life-changing! I can't wait to return to my next internship!",Very satisfied,Early Career,2023-10-25T18:58:09.601454-04:00,inhersight,amazon
