text,source
"It’s night shift hours, requests for improvements get lost in chain of command and too many sub levels of management.",Breakroom Global
Overloaded with WorkLack of Team PerformanceLittle to no Career ProgressionFavouritism,Breakroom Global
I been with Amazon 7 years I didn’t had any opportunities to progress,Breakroom Global
"It's stressful, by the end of your 6hour shift you would have lifted over 600KGS of items.",Breakroom Global
Good payVarious overtime opportunitiesVoluntary time off opportunities,Breakroom Global
In 3 1/2 years I never got the promotion or a pay raise whereas pretty much everyone else did.,Breakroom Global
"3 days weekend, 4 day working week. Annual leave. Stocks compensation.",Breakroom Global
"Long hours, lots of work e.g. Never ending tasks, ranking system for managers talent review.",Breakroom Global
"Stress, workload, senior operations managers dont listen to issues and expect work being done by itself and don't understand the basic process, have to work with not so motivated colleagues.. mentally toxic work environment, getting sick is being treated as a reason to get fired..",Breakroom Global
"Pay is low, self employed, no benefits, starting time changes all the time, half of your time is wasted. (I start work at noon, it used to be 10am)",Breakroom Global
"Low pay, no flexibility, sexism, disability discrimination, nepotism, no action taken from complaints, double standards for associates vs leadership",Breakroom Global
"It’s good pay and you are all in the same boat, just trying to work hard and earn good money",Breakroom Global
"Working long hours, have no lifeSame thing different dayCanteenCant progressPayNo overtime till end of year",Breakroom Global
Most nights the associates are working like machines. The job is repetitive work which has an affect on your body in the long run,Breakroom Global
that in 10 years you'll be in the same place and same payment as a 1 week old new starter,Breakroom Global
"I can count with fix work hours, stabile company, diversity of colleagues.",Breakroom Global
"Treat people like a number, all the time. Managers don't care about anything unless it causes damage to their payslip",Breakroom Global
StressedExpecting unnecessary accomplishmentsSometimes expected to do the job of 2 people,Breakroom Global
"Not getting long enough breaks,constantly tracked if you are a direct worker where as indirect workers are not tracked.",Breakroom Global
"As an associate no responsibility, good salary for working overtime, benefits, one paid break one unpaid every day, career choice (2000£ every year towards any education), easy job",Breakroom Global
"Terrible pay, hard to find work, they do not pay for sick leave or travel expenses.",Breakroom Global
"The benefits, the two half hour breaks, the flexibility offered by the shift swap & emergency working holiday.",Breakroom Global
"Parcels are getting heavier, policies are becoming more restrictive, no penalties for lazy employees, no pay bonus for doing critical roles, harsh anti-union policies.",Breakroom Global
Too many people working here. For small task they hired 3 people,Breakroom Global
"Flexibility, you can literally work when you want and have any time off.",Breakroom Global
If we want office job we need to stay at least 3 yearsI don’t like this point,Breakroom Global
"The warehouse I work at makes work a little competitive which makes our work more fun and interactive and unlike other stories, managers and supervisors really do care about your well-being and they try their best to look out for you. Working alongside with them, I see both the operational stand points and also from an associates side which make work easier for me",Breakroom Global
"I feel like the higher the level you are beyond your station manager don’t really understand FULLY how operations are ran and only see the bigger picture in amazon. Honestly, I don’t really rate these people as they are constantly giving I see as useless feedback which don’t provide any operational benefits and they won’t listen out to associate feedbacks which are the ones actually completing tasks day in day out",Breakroom Global
"Way too physical: it's 90% running around and only 10% driving. Constant work, not even 5 minutes to yourself. I take a 30 minute break because I have diabetes and i need to eat but the other drivers don't take a break. Bad weather: When it rains we're outside in it all day and we have to deliver the same amount of packages regardless of how the weather slows us down. The stress of being against the clock and potentially being out until past 9pm. There's many loopholes! Most routes are programmed to be 9 hours long on average but you're 'self employed' so you get to go home whenever you deliver your last parcel. So some days you might finish 2 hours early if you go quick... but the systems' algorithm learns how many parcels you (as a driver) are able deliver per hour... and they will program more parcels into your route next time so that you're still out delivering for the full 9 hours. You are penalised if you bring back packages. Amazon thinks that if they penalize you for bringing back undelivered packages, it means more packages get delivered. But in reality it just encourages drivers to leave parcels on peoples doorsteps or random safe places without permission from the customer. And if the parcel gets stolen or damaged from the weather, we are also penalised. So we can't win. You can only win if the customer is home to take the delivery or if you get away with leaving it in a safe place. 50% of the time, customers aren't home. So you are standing around outside wasting time like a melon. A wet melon if its raining too. A lot of the time you are delivering to multiple addresses in 1 drop. So you might be happy when you realise you only have 110 drops for the day, but a lot of the drops are delivering to a house and 3 of their neighbours. So in reality you're really delivering to 250 separate addresses. You have to urinate in a bottle or a bush, the rumours are true. Doing a poo is a grey area. Nobody talks about that. Ever. Just drive to a nearby pub or something I guess. We all share a fleet of Van's and most of them are damaged from previous drivers.",Breakroom Global
You either stand or walk in a fast pace the whole shift. If you complain about any pain they rather send you home instead of letting you rest or change your Duty. They will to terminate your contratc if you complain about any pain. Coming late 3 times can make you go home too,Breakroom Global
Repeating the same songs that we hear in the workplace every day is boring,Breakroom Global
Night Shift are relied to do to much of the work of hybrid shift.,Breakroom Global
Knowing how well you do your job only to be looked over at every opportunity. Management don’t like being questioned and like it even less if you have a valid point to argue.,Breakroom Global
All work is done while standing for 10 hours a day. No sick pay on the first 3 days.,Breakroom Global
Fixed working days;No shift rotation;Scheduling vacations directly in the app.,Breakroom Global
Discounts and the people who work there/ positive work environment.,Breakroom Global
"New staff take a long time to train and we are often understaffed, and occasionally there are issues at work.",Breakroom Global
"Most of the people working at Amazon are great. They make it bearable, as the company itself does not care about the workers.",Breakroom Global
"The recruitment agency of Amazon, they're just not nice people. They do a mass hire then a mass firing people only to do a mass hire because of lack of workers actually needed, and just a repeated process of this making it so difficult for everyone else as struggle to keep up with the volume of packages. Amazon does not care about your welfare, they only care about metrics; making more money. You could go to work only to be told they have 'enough' people and they want some people to go home so they look good to higher ups. It's all about metrics about Amazon , they do not care about you at all.",Breakroom Global
The pay is okay could be improved massively as I work nightshift and we do 85% of the work to what day shift does,Breakroom Global
"It’s good pay on night shift, and a very positive environment.",Breakroom Global
Get to see a range of different products come into warehouse.,Breakroom Global
The management it good and everyone works as a team to create a good working environment,Breakroom Global
"The payment is decent, and you can work more overtime then compare to other companies.",Breakroom Global
We have best team and we understand eachother and we get work done together.,Breakroom Global
I like it because I can have a flexibility about in witch days to work.,Breakroom Global
"When you are delivering on high streets you can take parking tickets, the volume of work is very high, you need to hurry every day to finish your route.",Breakroom Global
The team i work with are all close nit and get along well and we always have a good laugh,Breakroom Global
