title,pros,cons,overall_experience,job_title,overall_rating,employment_status,recommended,date,platform,source
just mainly did pick pack and rolls and unloading unloading containers,"good people, good energy good environment always smile in the morning as well",it was a competitive role overall doesn’t have any more challenges,,Warehouse Associate,5,"Less than 1 year in the role, former employee",Recommended,8 Jan 2026,seek,amazon
A supportive environment that helped me develop practical skills and work confidently in a team.,"Supportive team environment and clear daily tasks. The work helped me build experience, improve time management, and develop teamwork skills. Good opportunity to learn and gain exposure to a fast-paced work setting.","Work can be physically demanding at times, and shifts can be busy during peak periods. Better communication around scheduling and workload planning could improve the overall experience.",,Warehouse Staff,5,"2 to 3 years in the role, former employee",Recommended,8 Jan 2026,seek,amazon
"A rewarding experience that combined people development with logistics excellence in a dynamic, fast-paced environment.","I enjoyed mentoring and training new associates, building their confidence, and contributing to a positive team culture. I also valued the exposure to logistics operations, problem-solving, and continuous improvement initiatives.","The role could be physically demanding and fast-paced, with tight deadlines and constant pressure to maintain accuracy and speed. Balancing training responsibilities while handling operational issues was sometimes challenging.",,Delivery Associate /  Pick and Packer - Casual / Learning Amabassador /  GTDR Associate,5,"2 to 3 years in the role, former employee",Recommended,3 Sep 2025,seek,amazon
"This is my easy job ever. We have a target here, but we are not working under pressure. Just try to do the best in the workplace.",The roster timing is very flexible and we got the fix roster as well.,"Overall, i’d like to work in Amazon.",,Picker and Packer,5,"Less than 1 year in the role, current employee",Recommended,24 Aug 2025,seek,amazon
I enjoy working at Amazon despite the distance.,"Team work
Professionalism from the managers
The working environment is good.",Nothing of great significance for now as i am still new.  ,,Warehouse Assistant,4,"Less than 1 year in the role, current employee",Recommended,5 Aug 2025,seek,amazon
"Good to work there, line managers are very helpful and always motivate you. ","Great team, always cheer you up. Very helpful environment ","Do not pay enough. 
While Amazon is a big name but they do not pay enough to there staff ",,Pick and Staw ,3,"Less than 1 year in the role, current employee",Recommended,5 Aug 2025,seek,amazon
its not a good company to work in,pick item and packing it in boxes,the company doesn't care about their works,,pick/pack,1,"1 to 2 years in the role, former employee",Not recommended,27 Jun 2025,seek,amazon
Please work somewhere else,"Flexible, 
only 4 days a week or 3","10 Hour shifts, repetitive, strict ",,Process Worker,3,"Less than 1 year in the role, current employee",Not recommended,30 May 2025,seek,amazon
Great until they decided they wanted people to quit without firing them.,Well stocked snack bar. Australian working hours shifts. Great immediate team. Opportunity to work within a very large security organisation. Promotions if you work for it. Higher payscale than typical for Australia.,"If they want you to quit without the cost of firing you, they will try hard to make it happen ""voluntarily"".",,Cyber Security Engineer,4,"3 to 4 years in the role, current employee",Not recommended,15 Apr 2025,seek,amazon
"Led a team of 12 IT professionals, overseeing network infrastructure, IT support, asset management, and project coordination across multiple sites—including 78 Amazon delivery stations—while driving cost optimization and ensuring seamless IT operations.",I like Amazon to work for Bext work culture.,"While leadership is approachable, regular feedback and recognition could be improved to boost employee morale",,IT Support Engineer,5,"2 to 3 years in the role, former employee",Recommended,11 Apr 2025,seek,amazon
"it was good I would do it again, I just think you should be able to sit down at certain stations.",describe the good things ,describe the bad things ,,Warehouse Operator,5,"3 to 4 years in the role, former employee",Recommended,17 Feb 2025,seek,amazon
"It is an ok job but if you want to advance it to a career, expect to play politics and kiss up to managers.","Left alone for most of shift. 
Free hot drinks. 
Stocked break room
Good and clean facilities
Opportunites to be 'promoted' without a payrise are there
Up-skilling
Choice of moving to different departments
Lockers provided
Large car park","Very noisy work environment. Inconsiderate co-workers playing deafening music over speakers and management not caring about permanent hearing loss.

Micro management. One manager will tell you you're doing great and another will tell you to pick-up the pace. 

Power tripping security. 

The amount of walking and stairs just to reach where you are working and you're expected to come in much earlier than start time. 

The structure of the company is built on top of many meaningless titles.",,Stower,3,,Recommended,5 Nov 2024,seek,amazon
"Worked as a Pick and Packer, where I:
Picked items for customer orders and packed them carefully.
Checked items for quality and accuracy.
Worked quickly to meet daily goals.
Followed safety rules to keep the workplace safe.
Helped with inventory and used equipment like barcode scanners.",At Amazon there'are amazing people.,"Hard, but not to much..",,Fulfilment Officer,5,"Less than 1 year in the role, current employee",Recommended,24 Oct 2024,seek,amazon
good experience  in this website,good website  for work,accepted challanges are good and easy,,Data Analyst,2,,Recommended,10 May 2024,seek,amazon
Great!,Great place to work and motivating,Always helps to grow in career by providing new tasks and training sessions too,,Quality Specialist,5,"1 to 2 years in the role, former employee",Recommended,22 Jan 2024,seek,amazon
"Fantastic, would recommend to anyone who loves a challenge and wish to advance fast","They paid many of the business expenses, travel fees etc. Work was challenging, and fast paced, which allowed me to learn quickly",The challenges are fun to experience,,HR Operations Coordinator,4,"1 to 2 years in the role, former employee",Recommended,31 Aug 2023,seek,amazon
"It was good, but not anymore",Good colleagues and technical enviroment,"Incompetent management implementing blindly standards from Europe. No team strategy, more talking than doing and managers are focused how to sell themselves instead of building a team. In Australia, absolutely no oportunity to grow",,Maintenance Supervisor,2,"1 to 2 years in the role, former employee",Not recommended,6 Jun 2023,seek,amazon
"My experience can be described as having a safe and well-equipped environment, a moderate to high workload, and an extremely poor management team.",The working environment is safe with adequate facilities,"The management team is highly disorganised, frequently changing personnel. Each person has a different approach to team planning, resulting in the need to adapt to new strategies whenever a new person takes charge. This places significant pressure on employees and creates a lack of transparency in team management. Additionally, the constant turnover in the HR department further contributes to chaotic management.",,Warehouse Worker,3,"1 to 2 years in the role, current employee",Recommended,23 May 2023,seek,amazon
See the tech giant from the inside - Much will delight but will also frustrate you.,"Great to see the online behemoth from the inside and see the connections between all segments of the business - online retail, Prime Video, Alexa, Audible - all connect to deliver a compelling shopping and experience proposition for Aussie consumers.","The tech - Made the job harder vs easier with closed cloud environments marking it hard to collaborate with partners, and everyday work emails needing to be continually archived. Super frustrating and productivity impacting.",,Communications Department,3,,Not recommended,18 May 2023,seek,amazon
not sustainable at all,"-working with smart, diverse people","-overworked and underappreciated, management care too much about themselves and can't provide support / guidance needed to help employees thrive, sink or swim culture and not worth the staggering hit to wellbeing. you can find better learning opportunities elsewhere, without the extreme stress and lack of support",,Analyst,1,current employee,Not recommended,13 May 2023,seek,amazon
"The one-stop career shop where there is no limit to what you can build and achieve, all alongside the world's most talented people. ","Limitless career opportunities across roles, departments, entities, countries etc. Hugely varied roles where you are usually working at both the level above and below you, as well as doing a bit of the role on each side of you. Ability to invent, build and innovate with autonomy and full trust from your managers and stakeholders. Obsession with anyone who is a customer of yours. ","If you don't like working in ambiguous, ever-changing environments, this wouldn't be the company for you. ",,Recruitment Role,5,"5 to 6 years in the role, current employee",Recommended,21 Dec 2022,seek,amazon
"Amazon is a one stop shop for your career journey, there are endless opportunities to grow and work in an inclusive culture that have lots of fun along the way!","Great opportunities that allow you to develop yourself outside of your immediate role, a lot of support and mechanisms in place to support your learning and growth. ","It is very fast paced so you will need to ensure this is an environment you are comfortable with, if so, the rewards are great and you will have the opportunity to work with some super smart awesome people!",,Programme Manager,5,,Recommended,19 Dec 2022,seek,amazon
"Innovative, team work & flexible.",The team I work with are fantastic. Flexibility is super important to me and this is highly promoted with Amazon. I feel valued and that my work makes a difference.,"Once you're in, you're in! The standards were high when I joined Amazon and this was seen in the recruitment process. It's a steep learning curve, but I've found it great. Some may find it challenging.",,Manager,5,"Less than 1 year in the role, current employee",Recommended,14 Dec 2022,seek,amazon
Best company to work for in Australia,"Culture
Benefits
Great Career development opportunity","Old school process
Too frequent changes ",,Recruitment Consultant,5,current employee,Recommended,13 Dec 2022,seek,amazon
Working at Amazon will provide you with unique skills and knowledge that you may not experience anywhere else,"Amazon offers many opportunities to stretch yourself outside of your comfort zone. As employees, we are encouraged to innovate freely without the fear of failing. This could be through project work or other initiatives to grow the business. Amazonians as a whole are a creative, supportive and inspiring group of people and I have learnt so much in my short time with the business. ","We work at a fast pace and the business is complex, this can prove to be challenging at tines!",,Recruitment Consultant,5,"Less than 1 year in the role, current employee",Recommended,13 Dec 2022,seek,amazon
It has been a good experience so far. Every problem to me is a potential crown and I have enjoyed myself so far.,Amazon listen and its a good place to start.,The challenge in amazon is the number of hours of standing and performing similar task.,,Operation ,4,"7 to 8 years in the role, current employee",Recommended,3 Dec 2022,seek,amazon
"It is a cult like experience, and was an overly miserable workplace.","Nothing really. Apart from a few great people, it was mainly a miserable experience.","Poor management, impossible expectations, average money and so much walking!",,Maintenance Supervisor,1,"Less than 1 year in the role, former employee",Not recommended,12 Nov 2022,seek,amazon
Terrible unless you get sunday to Wednesday shifts,"Weekend pay
4 day weeks","Operations managers - terrible human beings-  young and no experience in the industry. 

Most of the good people within the company work sunday to Wednesday so they don't have to deal with the operation managers who work Wednesday to saturday",,Picker and Forklift Driver,1,"Less than 1 year in the role, former employee",Not recommended,28 Aug 2022,seek,amazon
A strange work culture of  're-inventing the wheel' without any real outcomes.,mae some friends and free lunches.,"Middle management is lazy and  completely lacks technical  knowledge. They only attend 'chime meetings' which benefits no one. All  problems are solved by technicians without any help from 'Sr Technicians"" who classify themselves as 'Managers'. Hence a massive turnover of technicians.",,RME Technician,1,1 to 2 years in the role,Not recommended,14 Aug 2022,seek,amazon
"Amazon is a engaging place to work, the people are brilliant and there are endless opportunities. ",Amazon is a great place to work - there are endless opportunities and from day one I have been given the ability to contribute to the wider company. Amazon offers a great work life balance and an amazing team to work with.,Amazon is fast paced and hands on,,Recruitment Consultant,5,"Less than 1 year in the role, current employee",Recommended,9 Aug 2022,seek,amazon
Poor management team ,"Good pay, Good work environment","Poor management, Repetitive work ",,Warehouse Worker,2,"Less than 1 year in the role, former employee",Not recommended,18 Jul 2022,seek,amazon
My experience with working at amazon was great I meet great people there I was always kept busy and the benefits are really great ,The benefits are great ,There was no big challenges for me at this job ,,Packer,5,"Less than 1 year in the role, current employee",Recommended,19 Jan 2022,seek,amazon
amazing workplace would recommend it to everyone.,Great Company looks after employees and great working environment,Gets really busy at times but always looking out to keep everyone safe ,,Maintenance Technician,5,"3 to 4 years in the role, current employee",Recommended,8 Dec 2021,seek,amazon
developing company,Easy job to be  within a limited shift hours,"Less hours for the team, few team members",,Assistant operational manager,3,"Less than 1 year in the role, current employee",Not recommended,1 Jan 2021,seek,amazon
L thing its a nice come but adjustments are needed,Yehh the company has nice things and should improve some of them,Needs more materials to keep on pushing,,Advertising Specialist,1,"3 to 4 years in the role, former employee",Not recommended,7 Jul 2020,seek,amazon
Feel ashamed working there,"Well known company, people trust it","Have dealt with a lot of complaints from people about different things that never been answered. We just give them promises until these people forget about the issue and disappear. Sellers support team does not work at all, people are wasting their time trying to get in touch with them. Feel really ashamed working here. ",,Manager,1,,Not recommended,28 May 2020,seek,amazon
It was a great and learning experience. ,I have great working experience as a Customer Service Representative for over 4 years now and I am very much eager to learn more to be good and competent in this industry. My main task was to make sure that all our customers' concerns are taken care of. I truly appreciate the job because it is very moving and satisfying to know that each of our customers is happy with our services. Working in the company boosted my confidence and most importantly enhanced my communication skills. I was also able to use time management to my advantage.  ,"If there are pros in working as a customer service agent, then there are also cons and one is diverse personalities of customers that can test your patience. Another is too many working tools to use so work error is expected, however, I have managed to understand and familiarized all the needed tools. Lastly, limited to no incentives/bonuses. ",,Customer Service Role,4,"3 to 4 years in the role, former employee",Recommended,27 May 2020,seek,amazon
Amazon is an outstand workplace with the best people to work with.,"The training was easy for anyone, the warehouse is extremely clean, workers are very nice and break times are amazing.",Most likely just work loads increasing or problem solving but it wasn't impossible.,,Sorter,4,"Less than 1 year in the role, former employee",Recommended,10 Mar 2020,seek,amazon
